unit,y1_lower,y1_upper,y2_lower,y2_upper,prob
1,-40.0,-20.0,-20.0,-5.0,0.04648929017385458
1,-40.0,-20.0,-5.0,0.0,0.013351263087119394
1,-40.0,-20.0,0.0,10.0,0.002977619825184901
1,-20.0,0.0,-20.0,-5.0,0.12957448852175585
1,-20.0,0.0,-5.0,0.0,0.32744212851791377
1,-20.0,0.0,0.0,10.0,0.04572087215445203
1,-20.0,0.0,10.0,50.0,0.007299971184324273
1,0.0,25.0,-20.0,-5.0,0.05772740370761695
1,0.0,25.0,-5.0,0.0,0.08625492267793682
1,0.0,25.0,0.0,10.0,0.08308519834790126
1,0.0,25.0,10.0,50.0,0.08683123619248871
1,25.0,50.0,-20.0,-5.0,0.004994717126116608
1,25.0,50.0,-5.0,0.0,0.013351263087119394
1,25.0,50.0,0.0,10.0,0.01575256939775238
1,25.0,50.0,10.0,50.0,0.07914705599846317
2,-30.0,-10.0,-20.0,-5.0,0.06880544666804209
2,-30.0,-10.0,-5.0,0.0,0.07148751805240354
2,-30.0,-10.0,0.0,20.0,0.012585104188157623
2,-10.0,10.0,-20.0,-5.0,0.1412213740458015
2,-10.0,10.0,-5.0,0.0,0.24190220755106248
2,-10.0,10.0,0.0,20.0,0.0998555807716113
2,-10.0,10.0,20.0,50.0,0.0009284093253558902
2,10.0,30.0,-20.0,-5.0,0.029193315452857437
2,10.0,30.0,-5.0,0.0,0.07241592737775944
2,10.0,30.0,0.0,20.0,0.09490406436971321
2,10.0,30.0,20.0,50.0,0.027852279760676706
2,30.0,50.0,-20.0,-5.0,0.00216628842583041
2,30.0,50.0,-5.0,0.0,0.007324118011140912
2,30.0,50.0,0.0,20.0,0.016917681039818444
2,30.0,50.0,20.0,50.0,0.11244068495976893
3,-50.0,-20.0,-30.0,-5.0,0.05237882510609783
3,-50.0,-20.0,-5.0,0.0,0.038306901943265574
3,-50.0,-20.0,0.0,15.0,0.030712530712530713
3,-50.0,-20.0,15.0,50.0,0.0002233638597274961
3,-20.0,0.0,-30.0,-5.0,0.06767924949743132
3,-20.0,0.0,-5.0,0.0,0.12910431092249275
3,-20.0,0.0,0.0,15.0,0.24469510833147196
3,-20.0,0.0,15.0,50.0,0.01194996649542104
3,0.0,30.0,-30.0,-5.0,0.014406968952423499
3,0.0,30.0,-5.0,0.0,0.04992182264909537
3,0.0,30.0,0.0,15.0,0.19142282778646416
3,0.0,30.0,15.0,50.0,0.08789367880276971
3,30.0,80.0,-30.0,-5.0,0.002233638597274961
3,30.0,80.0,-5.0,0.0,0.003238775966048693
3,30.0,80.0,0.0,15.0,0.021331248603975877
3,30.0,80.0,15.0,50.0,0.054500781773509054
4,-35.0,-15.0,-18.0,-5.0,0.050359712230215826
4,-35.0,-15.0,-5.0,0.0,0.05140403805987468
4,-15.0,10.0,-18.0,-5.0,0.1342538872128104
