unit,y1_lower,y1_upper,y2_lower,y2_upper,prob,label1,label2
1,25.0,50.0,-40.0,-20.0,0.0202119792950456,Y1,Y2
1,25.0,50.0,-20.0,0.0,0.08774956864678334,Y1,Y2
1,25.0,50.0,0.0,25.0,0.0712349026374168,Y1,Y2
1,25.0,50.0,25.0,50.0,0.024073617615643743,Y1,Y2
1,50.0,75.0,25.0,50.0,0.026949305726727466,Y1,Y2
1,50.0,90.0,-30.0,-10.0,0.056609974529619585,Y1,Y2
1,50.0,90.0,-10.0,10.0,0.18839865253471366,Y1,Y2
1,50.0,90.0,10.0,30.0,0.08019061704050612,Y1,Y2
1,50.0,90.0,30.0,50.0,0.06589433900254703,Y1,Y2
1,90.0,130.0,-30.0,-10.0,0.027606605866403743,Y1,Y2
1,90.0,130.0,-10.0,10.0,0.08306630515158983,Y1,Y2
1,90.0,130.0,10.0,30.0,0.04617533481225865,Y1,Y2
1,90.0,130.0,30.0,50.0,0.0368909703393312,Y1,Y2
1,130.0,170.0,-30.0,-10.0,0.028263906006080024,Y1,Y2
1,130.0,170.0,-10.0,10.0,0.05841754991372935,Y1,Y2
1,130.0,170.0,10.0,30.0,0.034343932298085605,Y1,Y2
1,130.0,170.0,30.0,50.0,0.019308191602990715,Y1,Y2
1,100.0,125.0,-40.0,-20.0,0.0101059896475228,Y1,Y2
1,100.0,125.0,-20.0,0.0,0.03450825733300469,Y1,Y2
2,10.0,50.0,-30.0,-10.0,0.0113011301130113,Y1,Y2
2,10.0,50.0,-10.0,10.0,0.06760676067606759,Y1,Y2
2,10.0,50.0,10.0,30.0,0.021802180218021803,Y1,Y2
2,10.0,50.0,30.0,50.0,0.0166016601660166,Y1,Y2
2,50.0,90.0,-30.0,-10.0,0.06890689068906891,Y1,Y2
2,50.0,90.0,-10.0,10.0,0.22932293229322934,Y1,Y2
2,50.0,90.0,10.0,30.0,0.09760976097609761,Y1,Y2
2,50.0,90.0,30.0,50.0,0.0802080208020802,Y1,Y2
2,90.0,130.0,-30.0,-10.0,0.0336033603360336,Y1,Y2
2,90.0,130.0,-10.0,10.0,0.10111011101110111,Y1,Y2
2,90.0,130.0,10.0,30.0,0.056205620562056205,Y1,Y2
2,90.0,130.0,30.0,50.0,0.044904490449044904,Y1,Y2
2,130.0,170.0,-30.0,-10.0,0.034403440344034406,Y1,Y2
2,130.0,170.0,-10.0,10.0,0.0711071107110711,Y1,Y2
2,130.0,170.0,10.0,30.0,0.0418041804180418,Y1,Y2
2,130.0,170.0,30.0,50.0,0.023502350235023502,Y1,Y2
3,10.0,50.0,-50.0,-30.0,0.0032003200320032004,Y1,Y2
3,10.0,50.0,-30.0,0.0,0.04080408040804081,Y1,Y2
3,10.0,50.0,0.0,30.0,0.013201320132013201,Y1,Y2
3,10.0,50.0,30.0,60.0,0.0116011601160116,Y1,Y2
3,50.0,90.0,-50.0,-30.0,0.008800880088008802,Y1,Y2
3,50.0,90.0,-30.0,0.0,0.20252025202520252,Y1,Y2
3,50.0,90.0,0.0,30.0,0.10471047104710471,Y1,Y2
3,50.0,90.0,30.0,60.0,0.0521052105210521,Y1,Y2
3,90.0,130.0,-50.0,-30.0,0.0157015701570157,Y1,Y2
3,90.0,130.0,-30.0,0.0,0.23202320232023202,Y1,Y2
3,90.0,130.0,0.0,30.0,0.17261726172617262,Y1,Y2
3,90.0,130.0,30.0,60.0,0.09410941094109411,Y1,Y2
3,130.0,170.0,-50.0,-30.0,0.0005000500050005,Y1,Y2
3,130.0,170.0,-30.0,0.0,0.011401140114011402,Y1,Y2
3,130.0,170.0,0.0,30.0,0.0186018601860186,Y1,Y2
3,130.0,170.0,30.0,60.0,0.018101810181018103,Y1,Y2
4,20.0,35.0,-35.0,-15.0,0.00620124024804961,Y1,Y2
4,20.0,35.0,-15.0,10.0,0.04120824164832967,Y1,Y2
4,20.0,35.0,10.0,35.0,0.007501500300060012,Y1,Y2
4,20.0,35.0,35.0,60.0,0.010602120424084817,Y1,Y2
4,35.0,50.0,-35.0,-15.0,0.030106021204240847,Y1,Y2
4,35.0,50.0,-15.0,10.0,0.1950390078015603,Y1,Y2
4,35.0,50.0,10.0,35.0,0.06741348269653931,Y1,Y2
4,35.0,50.0,35.0,60.0,0.04430886177235447,Y1,Y2
4,50.0,65.0,-35.0,-15.0,0.01820364072814563,Y1,Y2
4,50.0,65.0,-15.0,10.0,0.15033006601320262,Y1,Y2
4,50.0,65.0,10.0,35.0,0.07001400280056012,Y1,Y2
4,50.0,65.0,35.0,60.0,0.04300860172034406,Y1,Y2
4,65.0,80.0,-35.0,-15.0,0.03060612122424485,Y1,Y2
4,65.0,80.0,-15.0,10.0,0.11262252450490098,Y1,Y2
4,65.0,80.0,10.0,35.0,0.038107621524304865,Y1,Y2
4,65.0,80.0,35.0,60.0,0.027005401080216044,Y1,Y2
4,80.0,95.0,-35.0,-15.0,0.0027005401080216042,Y1,Y2
4,80.0,95.0,-15.0,10.0,0.0585117023404681,Y1,Y2
4,80.0,95.0,10.0,35.0,0.030106021204240847,Y1,Y2
4,80.0,95.0,35.0,60.0,0.01640328065613123,Y1,Y2
5,20.0,40.0,-30.0,-15.0,0.0807919208079192,Y1,Y2
5,20.0,40.0,-15.0,10.0,0.09399060093990601,Y1,Y2
5,20.0,40.0,10.0,35.0,0.015398460153984602,Y1,Y2
5,20.0,40.0,35.0,60.0,0.007999200079992,Y1,Y2
5,40.0,60.0,-30.0,-15.0,0.07139286071392861,Y1,Y2
5,40.0,60.0,-15.0,10.0,0.3154684531546845,Y1,Y2
5,40.0,60.0,10.0,35.0,0.06139386061393861,Y1,Y2
5,40.0,60.0,35.0,60.0,0.0254974502549745,Y1,Y2
5,60.0,80.0,-30.0,-15.0,0.017198280171982803,Y1,Y2
5,60.0,80.0,-15.0,10.0,0.0845915408459154,Y1,Y2
5,60.0,80.0,10.0,35.0,0.029097090290970903,Y1,Y2
5,60.0,80.0,35.0,60.0,0.012998700129987,Y1,Y2
5,80.0,100.0,-30.0,-15.0,0.0287971202879712,Y1,Y2
5,80.0,100.0,-15.0,10.0,0.07089291070892911,Y1,Y2
5,80.0,100.0,10.0,35.0,0.0231976802319768,Y1,Y2
5,80.0,100.0,35.0,60.0,0.008299170082991702,Y1,Y2
5,100.0,120.0,-30.0,-15.0,0.0044995500449955,Y1,Y2
5,100.0,120.0,-15.0,10.0,0.027897210278972105,Y1,Y2
5,100.0,120.0,10.0,35.0,0.014898510148985102,Y1,Y2
5,100.0,120.0,35.0,60.0,0.005699430056994301,Y1,Y2
6,40.0,100.0,-50.0,-20.0,0.007046650611007048,Y1,Y2
6,40.0,100.0,-20.0,10.0,0.03755240388903755,Y1,Y2
6,40.0,100.0,10.0,40.0,0.013112122023013113,Y1,Y2
6,40.0,100.0,40.0,70.0,0.006600660066006601,Y1,Y2
6,40.0,100.0,70.0,100.0,0.004103113014004103,Y1,Y2
6,100.0,130.0,-50.0,-20.0,0.026135045937026136,Y1,Y2
6,100.0,130.0,-20.0,10.0,0.24913031843724912,Y1,Y2
6,100.0,130.0,10.0,40.0,0.10846490054410847,Y1,Y2
6,100.0,130.0,40.0,70.0,0.04120952635804121,Y1,Y2
6,100.0,130.0,70.0,100.0,0.02122914994202123,Y1,Y2
6,130.0,170.0,-50.0,-20.0,0.008473820355008474,Y1,Y2
6,130.0,170.0,-20.0,10.0,0.07118009098207118,Y1,Y2
6,130.0,170.0,10.0,40.0,0.04219070555704219,Y1,Y2
6,130.0,170.0,40.0,70.0,0.013914905004013914,Y1,Y2
6,130.0,170.0,70.0,100.0,0.007046650611007048,Y1,Y2
6,170.0,210.0,-50.0,-20.0,0.00017839621800017842,Y1,Y2
6,170.0,210.0,-20.0,10.0,0.04156631879404157,Y1,Y2
6,170.0,210.0,10.0,40.0,0.01882080099901882,Y1,Y2
6,170.0,210.0,40.0,70.0,0.00553028275800553,Y1,Y2
6,170.0,210.0,70.0,100.0,0.003211131924003211,Y1,Y2
6,210.0,250.0,-50.0,-20.0,0.007314244938007315,Y1,Y2
6,210.0,250.0,-20.0,10.0,0.03978235661403978,Y1,Y2
6,210.0,250.0,10.0,40.0,0.028008206226028006,Y1,Y2
6,210.0,250.0,40.0,70.0,0.005797877085005797,Y1,Y2
6,210.0,250.0,70.0,100.0,0.002675943270002676,Y1,Y2
