unit,y1_lower,y1_upper,y2_lower,y2_upper,prob,label1,label2
1,-40.0,-20.0,-20.0,-8.0,0.03911324484608867,Y2,Y3
1,-40.0,-20.0,-8.0,-1.0,0.04631460039536854,Y2,Y3
1,-40.0,-20.0,-1.0,15.0,0.006918949449308104,Y2,Y3
1,-20.0,0.0,-20.0,-8.0,0.0840158147415984,Y2,Y3
1,-20.0,0.0,-8.0,-1.0,0.259390002824061,Y2,Y3
1,-20.0,0.0,-1.0,15.0,0.10138378988986162,Y2,Y3
1,0.0,20.0,-20.0,-8.0,0.03854843264614516,Y2,Y3
1,0.0,20.0,-8.0,-1.0,0.1355549279864445,Y2,Y3
1,0.0,20.0,-1.0,15.0,0.1653487715334651,Y2,Y3
1,20.0,50.0,-20.0,-8.0,0.005224512849477549,Y2,Y3
1,20.0,50.0,-8.0,-1.0,0.029229031347077095,Y2,Y3
1,20.0,50.0,-1.0,15.0,0.06481219994351878,Y2,Y3
1,50.0,75.0,-20.0,-8.0,0.000847218299915278,Y2,Y3
1,50.0,75.0,-8.0,-1.0,0.005224512849477549,Y2,Y3
1,50.0,75.0,-1.0,15.0,0.010731431798926857,Y2,Y3
1,75.0,100.0,-5.0,0.0,0.0005648121999435188,Y2,Y3
1,75.0,100.0,0.0,15.0,0.0032476701496752325,Y2,Y3
1,75.0,100.0,15.0,50.0,0.0035300762496469924,Y2,Y3
2,-30.0,-5.0,-20.0,-5.0,0.11730081984443977,Y2,Y3
2,-30.0,-5.0,-5.0,0.0,0.14431364305234393,Y2,Y3
2,-30.0,-5.0,0.0,20.0,0.028904771915072524,Y2,Y3
2,-5.0,10.0,-20.0,-5.0,0.09669960058860626,Y2,Y3
2,-5.0,10.0,-5.0,0.0,0.17500525541307546,Y2,Y3
2,-5.0,10.0,0.0,20.0,0.08566323313012403,Y2,Y3
2,10.0,30.0,-20.0,-5.0,0.02974563800714736,Y2,Y3
2,10.0,30.0,-5.0,0.0,0.07378599957956695,Y2,Y3
2,10.0,30.0,0.0,20.0,0.09669960058860626,Y2,Y3
2,30.0,50.0,-20.0,-5.0,0.005465629598486441,Y2,Y3
2,30.0,50.0,-5.0,0.0,0.014610048349800293,Y2,Y3
2,30.0,50.0,0.0,20.0,0.01723775488753416,Y2,Y3
2,30.0,50.0,20.0,50.0,0.11456800504519656,Y2,Y3
3,-50.0,-20.0,-30.0,-5.0,0.05237882510609783,Y2,Y3
3,-50.0,-20.0,-5.0,0.0,0.038306901943265574,Y2,Y3
3,-50.0,-20.0,0.0,15.0,0.030712530712530713,Y2,Y3
3,-50.0,-20.0,15.0,50.0,0.0002233638597274961,Y2,Y3
3,-20.0,0.0,-30.0,-5.0,0.06767924949743132,Y2,Y3
3,-20.0,0.0,-5.0,0.0,0.12910431092249275,Y2,Y3
3,-20.0,0.0,0.0,15.0,0.24469510833147196,Y2,Y3
3,-20.0,0.0,15.0,50.0,0.01194996649542104,Y2,Y3
3,0.0,30.0,-30.0,-5.0,0.014406968952423499,Y2,Y3
3,0.0,30.0,-5.0,0.0,0.04992182264909537,Y2,Y3
3,0.0,30.0,0.0,15.0,0.19142282778646416,Y2,Y3
3,0.0,30.0,15.0,50.0,0.08789367880276971,Y2,Y3
3,30.0,80.0,-30.0,-5.0,0.002233638597274961,Y2,Y3
