airline,Y1_interval,Y2_interval,joint_probability
1,"[25,50)","[-40,-20)",0.0246
1,"[25,50)","[-20,0)",0.1068
1,"[25,50)","[0,25)",0.0867
1,"[25,50)","[25,50)",0.0293
1,"[50,75]","[25,50)",0.0328
1,"[50,90)","[-30,-10)",0.0689
1,"[50,90)","[-10,10)",0.2293
1,"[50,90)","[10,30)",0.0976
1,"[50,90)","[30,50]",0.0802
1,"[90,130)","[-30,-10)",0.0336
1,"[90,130)","[-10,10)",0.1011
1,"[90,130)","[10,30)",0.0562
1,"[90,130)","[30,50]",0.0449
1,"[130,170]","[-30,-10)",0.0344
1,"[130,170]","[-10,10)",0.0711
1,"[130,170]","[10,30)",0.0418
1,"[130,170]","[30,50]",0.0235
1,"[100,125]","[-40,-20)",0.0123
1,"[100,125]","[-20,0)",0.042
2,"[10,50)","[-30,-10)",0.0113
2,"[10,50)","[-10,10)",0.0676
2,"[10,50)","[10,30)",0.0218
2,"[10,50)","[30,50]",0.0166
2,"[50,90)","[-30,-10)",0.0689
2,"[50,90)","[-10,10)",0.2293
2,"[50,90)","[10,30)",0.0976
2,"[50,90)","[30,50]",0.0802
2,"[90,130)","[-30,-10)",0.0336
2,"[90,130)","[-10,10)",0.1011
2,"[90,130)","[10,30)",0.0562
2,"[90,130)","[30,50]",0.0449
2,"[130,170]","[-30,-10)",0.0344
2,"[130,170]","[-10,10)",0.0711
2,"[130,170]","[10,30)",0.0418
2,"[130,170]","[30,50]",0.0235
3,"[10,50)","[-50,-20)",0.0143
3,"[10,50)","[-20,0)",0.0297
3,"[10,50)","[0,30)",0.0132
3,"[10,50)","[30,80]",0.0116
3,"[50,90)","[-50,-20)",0.0388
3,"[50,90)","[-20,0)",0.1725
3,"[50,90)","[0,30)",0.1047
3,"[50,90)","[30,80]",0.0521
3,"[90,130)","[-50,-20)",0.0535
3,"[90,130)","[-20,0)",0.1943
3,"[90,130)","[0,30)",0.1726
3,"[90,130)","[30,80]",0.0941
3,"[130,170]","[-50,-20)",0.0023
3,"[130,170]","[-20,0)",0.0097
3,"[130,170]","[0,30)",0.0186
3,"[130,170]","[30,80]",0.0181
4,"[20,35)","[-35,-15)",0.0062
4,"[20,35)","[-15,10)",0.0412
4,"[20,35)","[10,35)",0.0075
4,"[20,35)","[35,60]",0.0106
4,"[35,50)","[-35,-15)",0.0301
4,"[35,50)","[-15,10)",0.195
4,"[35,50)","[10,35)",0.0674
4,"[35,50)","[35,60]",0.0443
4,"[50,65)","[-35,-15)",0.0182
4,"[50,65)","[-15,10)",0.1503
4,"[50,65)","[10,35)",0.07
4,"[50,65)","[35,60]",0.043
4,"[65,80)","[-35,-15)",0.0306
4,"[65,80)","[-15,10)",0.1126
4,"[65,80)","[10,35)",0.0381
4,"[65,80)","[35,60]",0.027
4,"[80,95]","[-35,-15)",0.0027
4,"[80,95]","[-15,10)",0.0585
4,"[80,95]","[10,35)",0.0301
4,"[80,95]","[35,60]",0.0164
5,"[20,40)","[-30,-15)",0.0808
5,"[20,40)","[-15,5)",0.0874
5,"[20,40)","[5,35)",0.022
5,"[20,40)","[35,60]",0.008
5,"[40,60)","[-30,-15)",0.0714
5,"[40,60)","[-15,5)",0.2836
5,"[40,60)","[5,35)",0.0933
5,"[40,60)","[35,60]",0.0255
5,"[60,80)","[-30,-15)",0.0172
5,"[60,80)","[-15,5)",0.0747
5,"[60,80)","[5,35)",0.039
5,"[60,80)","[35,60]",0.013
5,"[80,100)","[-30,-15)",0.0288
5,"[80,100)","[-15,5)",0.0626
5,"[80,100)","[5,35)",0.0314
5,"[80,100)","[35,60]",0.0083
5,"[100,120]","[-30,-15)",0.0045
5,"[100,120]","[-15,5)",0.021
5,"[100,120]","[5,35)",0.0217
5,"[100,120]","[35,60]",0.0057
6,"[40,100)","[-30,-20)",0.0079
6,"[40,100)","[-20,10)",0.0421
6,"[40,100)","[10,40)",0.0147
6,"[40,100)","[40,80)",0.0095
6,"[40,100)","[80,130]",0.0076
6,"[100,130)","[-30,-20)",0.0293
6,"[100,130)","[-20,10)",0.2793
6,"[100,130)","[10,40)",0.1216
6,"[100,130)","[40,80)",0.0488
6,"[100,130)","[80,130]",0.0435
6,"[130,170)","[-30,-20)",0.0095
6,"[130,170)","[-20,10)",0.0798
6,"[130,170)","[10,40)",0.0472
6,"[130,170)","[40,80)",0.0189
6,"[130,170)","[80,130]",0.0144
6,"[170,210)","[-30,-20)",0.0002
6,"[170,210)","[-20,10)",0.0466
6,"[170,210)","[10,40)",0.0211
6,"[170,210)","[40,80)",0.0065
6,"[170,210)","[80,130]",0.0046
6,"[210,250)","[-30,-20)",0.0082
6,"[210,250)","[-20,10)",0.0446
6,"[210,250)","[10,40)",0.0314
6,"[210,250)","[40,80)",0.0077
